Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
37.28353117,-2.582357889,-0.6422768784,-0.6769825883,2.745796292,jumping
37.29352217,-2.960720689,0.1938574183,-0.9934024706,3.128944896,jumping
37.30351417,-3.361899324,0.7359697384,-0.9303478512,3.565047776,jumping
37.31350517,-3.75729097,0.9418706667,-0.001977528334,3.87354614,jumping
37.32349617,-3.423086635,1.084657919,0.839917299,3.687745379,jumping
37.33348817,-2.21835088,1.509334175,1.243210726,2.957151195,jumping
37.34347917,-1.015428055,1.928228704,1.426919132,2.604852833,jumping
37.35347117,0.02996990383,1.920578792,1.678776837,2.551041505,jumping
37.36346217,0.7050379676,2.004779282,0.9228806645,2.316878768,jumping
37.37345338,1.129227735,1.890031183,-0.05612245291,2.202390266,jumping
37.38344538,1.405661287,1.600886954,-0.6095836338,2.215923036,jumping
37.39343638,1.429110961,1.819809047,-0.3718128951,2.343567352,jumping
37.40342738,1.486320704,2.196693671,-0.1503279676,2.656541137,jumping
37.41341937,1.506034884,2.503375454,0.1480971086,2.925228621,jumping
37.42341038,1.426243779,2.906960803,0.5003035587,3.276415126,jumping
37.43340238,1.496277927,3.030642863,0.5743624918,3.42834305,jumping
37.44339338,1.473609442,2.951098511,0.5306722426,3.34097594,jumping
37.45338437,1.365391513,2.803486136,0.6748768598,3.190499534,jumping
37.46337638,1.314992023,2.628663744,0.8135336387,3.049740002,jumping
37.47336738,1.059647331,2.463929552,0.8324439727,2.808338347,jumping
37.48335938,0.7531348246,2.261509472,0.7690893911,2.504622855,jumping
37.49335037,0.4688347211,1.941946857,0.8265143844,2.161964296,jumping
37.50334138,0.1027560443,1.884807281,1.281962855,2.281772568,jumping
37.51333338,-0.01970365494,1.670246041,2.107837043,2.689439918,jumping
37.52332438,0.03543705046,1.847674538,2.934029903,3.467519064,jumping
37.53331537,0.009922140241,2.073351919,3.392229416,3.975689505,jumping
37.54330738,-0.4693957615,2.101392826,3.516994965,4.123765,jumping
37.55329838,-0.8014111912,1.835714643,3.565439731,4.089556043,jumping
37.56329038,-1.025071575,1.605571743,3.775085217,4.228463167,jumping
37.57328138,-1.33555668,1.107153327,3.941073051,4.305990818,jumping
37.58327238,-1.764774761,0.8177003646,3.970976297,4.421732307,jumping
37.59326438,-1.94374049,0.361570766,4.187892795,4.631123684,jumping
37.60325538,-1.674746643,-0.738099879,4.385270237,4.751858878,jumping
37.61324738,-0.7791464558,-2.157831321,4.820280862,5.338390469,jumping
37.62323838,0.5011239231,-3.40436999,5.63730178,6.604546281,jumping
37.63322938,1.460216102,-3.91767074,6.240670116,7.511746707,jumping
37.64322138,1.392345715,-2.398427873,6.31372172,6.895952785,jumping
37.65321238,0.8291199768,-0.050386042,5.591468965,5.652831492,jumping
37.66320338,1.233338872,1.964350464,4.973917623,5.488137574,jumping
37.67319538,2.050046964,3.20042671,4.370128287,5.791670305,jumping
37.68318638,2.533219058,3.265991539,3.241224487,5.252564679,jumping
37.69317838,3.012754768,2.486108626,2.585991349,4.684525446,jumping
37.70316937,3.681299678,1.049907331,1.913877298,4.279859699,jumping
37.71316038,3.54286831,-0.3904256058,0.8525467732,3.66485798,jumping
37.72315238,2.446848081,-1.136823269,-0.7222854996,2.793050128,jumping
37.73314338,1.941018319,-3.156421149,-2.183395494,4.300902518,jumping
37.74313537,2.45691611,-3.660124864,-2.001285717,4.841290666,jumping
37.75312638,2.429729773,-2.585085615,-3.016089143,4.656506,jumping
37.76311738,2.998713849,-2.723561715,-3.299561573,5.2246703,jumping
37.77310938,3.195627315,-3.048391501,-2.303098085,4.980861921,jumping
37.78310037,3.011955162,-4.381739688,-0.9124123943,5.394813525,jumping
37.79309138,3.977821047,-5.659139961,0.3707166883,6.927218507,jumping
37.80308338,4.251170193,-6.373514763,1.427252423,7.793021745,jumping
37.81307438,3.212510858,-7.00199689,0.002770703137,7.703777913,jumping
37.82306638,1.668322015,-5.912189328,-2.926989563,6.804744588,jumping
37.83305738,1.767894543,-3.385510966,-3.678793269,5.302891243,jumping
37.84304838,0.2748659134,-0.6700581694,-4.147001169,4.209768155,jumping
37.85304038,0.7023505872,1.008458759,-4.438759396,4.605743196,jumping
37.86303137,-0.4863129258,2.76276905,-3.137344608,4.208601226,jumping
37.87302338,-0.3695703417,2.465970231,-2.702304747,3.676961023,jumping
37.88301438,-1.121276984,0.3252133638,-1.361253731,1.793331405,jumping
37.89300538,-1.866180391,-0.1397835374,-0.4086320812,1.915502249,jumping
37.90299738,-2.155373737,0.3616654909,0.4211968705,2.225723405,jumping
37.91298838,-2.524040391,0.2243225813,0.5220642641,2.587209232,jumping
37.92297938,-2.409615059,-0.2429535645,-0.1112833312,2.424387581,jumping
37.93297138,-2.480264626,-0.5792386311,-0.5843634233,2.613180174,jumping
37.94296238,-2.677127806,-0.6173689091,-1.110398532,2.963299269,jumping
37.95295437,-2.749333318,-0.3566579354,-1.703579556,3.253954806,jumping
